,18-24,25-34,35-54
1524,9,17,40
1525,0,0,3
1526,38,86,245
1527,4,9,25
1528,10,18,37
1529,15,30,120
1530,10,22,55
1531,13,17,80
1532,11,11,49
1533,323,467,1193
1534,33,58,116
1535,231,358,1291
1536,47,75,255
1537,52,114,254
1538,172,318,900
1539,3,12,33
1540,8,6,17
1541,110,154,638
1542,60,104,312
1544,4,12,36
1545,33,60,286
1546,13,22,99
1547,1,6,18
1548,89,138,417
1549,229,282,758
1550,151,224,610
1551,16,28,75
1552,7,23,43
1554,5,10,37
1555,41,93,228
1556,11,36,83
1557,6,9,43
1558,0,3,8
1559,4,11,20
1560,103,142,434
1561,14,22,61
1562,67,129,525
1563,219,312,878
1564,49,59,259
1565,0,2,6
1566,52,23,149
1567,22,33,93
1568,1,4,13
1569,66,95,262
1570,1,3,5
1571,28,40,120
1572,4,5,23
1573,1,2,17
1574,21,34,76
1575,2,5,22
1576,143,252,653
1577,89,143,339
1578,35,53,125
1579,4,12,20
1580,339,561,1515
1581,10,27,74
1582,3,6,29
1583,10,12,51
1584,67,68,236
1585,29,31,81
1586,5,18,47
1587,30,96,242
1588,304,413,1412
1589,190,289,948
1590,24,46,120
1591,2,11,22
1592,1,2,4
1593,15,28,121
1594,2,3,22
1595,50,89,206
1596,4,4,16
1597,2,0,11
1598,6,11,37
1599,0,0,4
1600,12,23,41
1601,34,102,246
1602,2,3,15
1603,17,15,73
1604,9,15,58
1605,18,19,72
1606,0,10,20
1607,3,9,27
1608,43,103,311
1609,17,27,79
1610,3,8,16
1611,9,17,80
1612,0,7,8
1613,28,45,108
1614,2,5,20
1616,48,73,237
1617,175,234,757
1618,3,11,34
1619,0,0,7
1620,1,1,17
1621,6,0,10
1622,23,28,100
1623,5,2,15
1624,7,21,69
1625,21,55,103
1626,171,256,628
1627,42,71,203
1629,3,1,15
1630,15,17,41
1631,7,9,21
1632,30,37,181
1633,12,23,83
1634,232,345,882
1635,44,94,257
1636,0,0,9
1638,2,5,14
1639,3,0,8
1640,3,23,57
1641,34,42,187
1642,6,9,28
1643,4,7,15
1644,155,255,703
1645,51,111,345
1646,3,1,8
1647,20,18,90
1648,5,25,48
1649,20,37,89
1650,25,24,50
1651,48,101,182
1652,9,28,91
1653,22,53,126
1654,0,4,8
1656,0,1,5
1657,20,28,96
1658,3,10,42
1659,5,2,11
1660,9,23,69
1661,9,16,77
1662,127,196,622
1663,2,7,24
1664,12,22,56
1666,20,44,108
1667,32,27,134
1668,4,7,13
1669,1,3,14
1670,151,242,660
1672,7,23,44
1673,18,30,78
1674,49,90,264
1675,21,26,110
1676,13,5,16
1677,1,1,8
1678,5,4,23
1679,45,106,229
1680,6,9,46
1681,31,72,172
1682,5,6,23
1683,24,30,123
1684,3,11,41
1685,0,2,1
1686,18,46,139
1687,2,2,4
1688,63,88,356
1689,17,19,108
1690,28,42,117
1691,11,20,77
1692,78,125,381
1693,4,6,17
1694,24,41,103
1696,6,16,26
1697,0,2,18
1698,1,5,19
1699,362,464,1339
1700,0,11,25
1701,4,4,15
1702,2,1,6
1703,0,14,35
1704,38,80,135
1705,0,4,8
1706,1,4,9
1707,12,18,39
1708,22,39,147
1709,75,139,369
1710,14,14,63
1711,6,15,47
1712,2,4,9
1713,10,23,72
1714,20,42,170
1715,4,8,22
1716,12,17,53
1717,4,10,8
1718,0,0,3
1719,3,2,15
1720,35,65,243
1722,6,7,21
1723,3,14,25
1724,75,115,310
1725,8,11,49
1726,16,18,83
1727,1,7,10
1728,0,4,15
1729,1,4,15
1730,3,22,48
1731,74,155,446
1732,7,8,14
1733,1,3,9
1734,124,191,489
1735,289,442,1460
1736,0,4,8
1737,40,67,243
1738,2,9,22
1739,64,108,326
1740,5,36,93
1741,3,10,25
1742,10,20,70
1743,89,125,449
1744,50,91,292
1745,1,2,18
1746,8,11,40
1747,4,5,23
1748,1,2,7
1749,42,25,80
1750,4,11,34
1751,85,114,488
1752,164,176,592
1753,2,9,12
1755,52,59,218
1756,14,15,70
1757,26,40,129
1758,5,16,21
1759,7,11,31
1760,17,11,53
1761,6,10,22
1762,23,36,118
1763,2,4,22
1765,49,72,297
1766,33,46,113
1767,4,13,34
1768,0,5,6
1769,65,90,272
1770,16,42,114
1771,2,2,14
1772,17,25,80
1773,27,40,102
1774,13,20,44
1775,0,2,10
1776,8,23,65
1777,1,7,15
1778,10,14,64
1779,59,116,340
1780,0,0,15
1781,7,22,61
1782,67,56,319
1783,0,0,2
1784,31,39,146
1785,24,45,142
1786,9,7,40
1787,0,0,11
1788,6,0,24
1789,7,7,16
1790,0,1,11
1792,3,11,54
1793,6,17,46
1794,1,5,13
1795,17,39,105
1796,3,4,24
1797,10,19,38
1798,6,14,25
1800,6,19,52
1801,2,8,23
1802,6,5,28
1803,37,69,220
1804,14,8,54
1805,8,20,66
1806,54,83,269
1807,6,12,46
1808,11,18,39
1809,379,478,1429
1810,9,24,41
1811,12,27,74
1812,17,33,67
1813,9,13,16
1814,57,101,248
1815,4,6,12
1816,0,2,13
1817,3,12,19
1818,7,4,16
1819,6,7,15
1820,204,298,970
1823,15,43,115
1824,17,27,88
1825,3,10,22
1826,2,9,26
1827,5,10,44
1828,3,15,26
1829,9,16,44
1830,27,68,161
1831,1,6,7
1832,12,32,78
1833,131,200,700
1835,23,40,69
1836,35,92,282
1837,131,218,663
1838,2,5,34
1839,26,30,117
1841,12,24,65
1842,1,3,20
1843,69,112,319
1844,5,20,19
1845,4,4,13
1846,8,27,39
1847,35,73,208
1848,9,5,30
1849,5,26,46
1850,69,90,319
1851,3,24,30
1852,7,22,42
1853,4,18,30
1854,54,102,239
1855,15,21,51
1856,58,72,260
1857,15,19,73
1859,2,5,7
1861,7,8,31
1862,164,188,608
1863,34,82,215
1864,8,16,58
1865,88,130,359
1866,0,1,4
1867,3,22,55
1868,2,4,23
1869,2,8,16
1870,54,59,203
1871,1,0,12
1872,11,29,52
1873,15,15,34
1874,14,18,59
1875,28,54,162
1876,12,14,44
1877,1,7,12
1878,3,8,20
1879,2,4,33
1880,20,37,134
1881,17,39,107
1882,2,3,11
1883,40,57,172
1884,144,241,741
1885,203,310,1038
1886,6,6,35
1887,24,52,213
1888,0,5,27
1889,35,58,211
1890,1,5,13
1891,2,17,27
1892,15,22,63
1893,0,0,3
1894,9,23,49
1895,8,20,75
1896,13,18,56
1897,17,34,108
1898,7,8,17
1899,39,55,146
1900,31,78,274
1901,3,8,23
1903,0,2,4
1904,6,1,15
1905,8,9,31
1907,9,14,70
1908,35,37,132
1909,10,10,34
1910,50,77,211
1911,153,153,472
1912,21,30,104
1913,0,7,12
1914,107,123,367
1915,150,212,670
1916,7,7,28
1917,5,15,34
1918,12,27,58
1919,3,11,36
1920,5,11,46
1921,159,260,808
1922,2,15,34
1923,19,55,175
1924,23,37,131
1925,4,7,26
1926,47,64,202
1927,21,41,104
1928,13,21,47
1929,33,33,140
1930,68,65,158
1931,61,92,281
1932,9,18,37
1933,2,10,20
1934,0,1,6
1935,17,28,71
1936,12,15,40
1937,25,43,102
1938,79,69,319
1939,10,23,52
1940,9,10,39
1942,115,205,458
1944,81,114,319
1945,5,2,9
1946,2,2,9
1947,163,201,623
1948,0,0,4
1949,32,92,242
1950,3,8,26
1951,47,97,333
1952,31,50,102
1953,6,7,18
1954,26,42,123
1955,29,51,139
1956,19,43,87
1957,6,14,43
1958,2,15,35
1959,16,14,47
1960,59,83,265
1961,137,171,451
1962,140,189,578
1963,47,86,224
1964,9,19,39
1965,7,28,54
1966,11,17,47
1967,84,135,388
1968,10,22,91
1969,2,9,31
1970,3,15,24
1971,167,271,1025
1972,14,30,69
1973,2,15,14
1974,4,3,24
1975,81,125,389
1976,0,3,10
1977,4,21,43
1978,8,5,26
1979,16,11,49
1980,20,34,80
1981,81,140,347
1982,13,8,37
1983,2,21,44
1984,3,4,8
1985,25,45,100
1987,1,16,37
1988,20,25,62
1989,82,101,352
1991,35,48,155
1992,11,33,83
1993,134,215,512
1994,9,18,55
1995,0,2,10
1997,23,34,100
1998,50,80,186
1999,3,6,19
2000,7,10,27
2001,30,38,129
2002,4,2,11
2003,10,25,88
2004,3,15,36
2005,4,12,25
2006,21,23,69
2007,3,6,39
2008,11,11,66
2009,3,9,20
2010,165,217,705
2011,48,69,232
2012,5,10,36
2014,5,20,56
2015,32,74,160
2016,10,14,20
2017,59,85,263
2018,288,461,1416
2019,39,52,256
2020,3,6,22
2021,1,10,25
2022,13,11,40
2023,9,16,50
2024,109,153,366
2025,8,18,52
2026,6,6,31
2027,6,16,41
2028,54,106,368
2029,306,464,1273
2030,42,78,182
2031,50,88,325
2032,2,4,12
2033,35,47,129
2034,114,189,735
2035,3,9,27
2036,298,390,1165
2037,4,10,40
2038,83,93,310
2039,4,18,27
2040,19,20,66
2041,9,19,59
2042,8,9,45
2043,199,241,708
2044,7,10,52
2045,2,8,17
2046,10,4,36
2047,40,75,275
2048,473,616,1863
2049,13,24,71
2050,0,2,10
2051,20,31,93
2052,135,183,540
2053,5,11,34
2054,14,6,43
2055,20,29,129
2056,1,7,20
2057,3,5,18
2058,25,41,134
2059,286,356,978
2060,30,27,75
2061,166,195,692
2062,20,28,96
2063,19,48,142
2064,7,16,64
2065,7,14,34
2066,25,63,193
2067,31,42,135
2068,7,15,72
2069,40,30,95
2070,1,0,4
2071,326,426,1127
2072,14,20,48
2073,386,547,1769
2074,1,1,9
2075,1,4,18
2076,55,107,382
2078,79,151,489
2079,1,11,25
2080,13,22,60
2081,15,16,52
2082,1,0,7
2083,60,97,237
2084,32,81,227
2085,77,79,318
2086,155,231,683
2087,174,318,670
2088,157,211,578
2089,14,22,46
2090,13,22,61
2091,4,3,31
2092,11,18,53
2093,177,234,921
2095,21,27,76
2096,31,54,173
2097,12,12,40
2098,12,13,59
2099,21,21,81
2100,44,79,273
2102,274,418,1161
2103,15,18,65
2104,14,36,139
2105,3,5,28
2106,13,15,30
2107,23,56,161
2108,285,393,1062
2109,3,11,26
2110,10,13,40
2111,7,21,32
2112,2,4,8
2113,39,71,161
2114,32,30,117
2116,7,6,30
2117,8,22,55
2118,32,54,220
2119,11,24,61
2120,11,15,62
2121,4,6,23
2122,29,34,114
2123,22,20,99
2124,322,365,1372
2125,52,91,328
2126,14,27,84
2127,0,1,4
2128,0,6,7
2129,10,26,93
2130,7,8,23
2131,11,8,46
2132,16,29,102
2133,71,101,377
2135,15,27,75
2136,2,7,36
2137,31,56,180
2138,8,17,45
2140,78,130,308
2141,5,15,40
2142,11,6,35
2143,21,26,56
2144,1,5,11
2145,2,5,21
2146,1,0,3
2147,2,7,20
2148,7,10,23
2149,0,0,7
2150,3,9,15
2151,52,101,365
2152,6,14,55
2154,78,127,358
2155,42,100,276
2156,143,243,619
2157,13,17,55
2158,4,12,16
2159,39,84,266
2160,1,3,19
2161,6,7,30
2162,8,12,45
2163,0,6,13
2164,10,22,61
2165,21,47,119
2166,302,483,1190
2167,0,8,7
2168,52,106,303
2169,14,24,55
2171,8,7,16
2172,10,17,43
2173,205,276,754
2174,7,12,33
2175,147,240,822
2176,9,24,58
2177,15,27,52
2178,152,212,517
2179,2,6,13
2180,120,153,421
2181,3,11,21
2182,6,4,14
2183,8,20,46
2184,2,4,7
2185,3,10,40
2186,0,2,10
2187,3,11,24
2188,2,11,22
2189,3,6,20
2190,11,26,69
2191,416,476,1652
2192,0,1,2
2193,46,69,158
2194,77,119,285
2195,18,39,79
2196,12,22,61
2197,26,33,101
2198,33,34,76
2199,1,1,18
2200,22,39,74
2202,7,26,75
2203,6,12,54
2204,7,8,41
2205,114,151,523
2206,9,12,55
2207,211,374,1277
2208,10,26,88
2209,1,4,15
2210,451,661,1765
2211,93,121,358
2212,58,100,252
2213,54,108,318
2214,239,261,771
2215,2,6,24
2216,304,403,1209
2217,7,8,43
2218,4,24,37
2219,41,50,118
2220,22,24,79
2221,12,14,50
2222,6,2,9
2223,15,37,105
2224,26,47,117
2225,13,18,55
2226,5,5,17
2227,28,60,219
2228,25,25,140
2230,12,30,98
2231,6,4,15
2232,88,146,542
2233,22,36,127
2234,34,48,165
2235,56,88,254
2236,3,5,10
2237,21,40,75
2238,8,15,51
2239,14,11,39
2240,3,9,27
2241,38,58,155
2242,1,3,10
2243,3,7,18
2244,9,20,55
2245,17,45,115
2246,1,4,7
2247,5,14,56
2248,0,1,15
2249,4,9,20
2250,21,36,87
2252,1,5,26
2253,83,185,481
2254,5,13,31
2255,295,360,1403
2256,0,1,3
2257,241,179,683
2258,0,2,1
2259,3,10,26
2260,74,58,249
2261,69,111,283
2262,2,3,18
2263,26,31,94
2264,2,7,13
2265,94,149,389
2266,48,69,208
2268,0,3,5
2269,6,11,27
2270,0,1,7
2271,0,3,11
2272,0,0,4
2273,31,53,111
2274,13,15,66
2275,3,5,26
2276,8,20,44
2277,53,84,247
2278,24,56,157
2279,30,49,176
2280,10,18,46
2281,14,21,55
2282,257,226,859
2284,0,1,6
2285,8,13,49
2286,2,12,25
2287,6,15,20
2288,2,1,8
2289,3,0,2
2290,1,6,7
2291,194,301,827
2292,1,2,10
2293,10,16,48
2294,254,351,944
2295,82,55,209
2298,3,4,9
2299,24,70,139
2300,5,3,7
2301,186,332,854
2302,6,11,27
2303,3,10,30
2304,4,5,27
2305,3,14,19
2306,12,21,69
2307,11,20,51
2309,4,15,21
2310,8,6,6
2311,193,327,751
2312,21,66,144
2313,304,432,1180
2314,5,5,6
2315,2,7,24
2316,10,7,38
2317,43,89,226
2318,103,155,489
2319,1,12,39
2320,15,12,38
2322,6,6,24
2323,9,36,71
2324,1,8,18
2325,114,171,412
2326,18,38,118
2327,52,115,306
2328,5,5,12
2329,27,48,158
2330,0,0,16
2331,2,4,22
2332,5,1,11
2333,27,58,129
2334,28,81,190
2335,2,5,34
2337,0,12,30
2339,0,2,17
2340,0,0,6
2341,195,322,934
2342,18,34,45
2343,178,267,671
2345,0,5,20
2346,18,30,78
2347,19,17,80
2348,1,4,7
2349,18,30,101
2350,63,38,173
2351,2,7,20
2352,10,12,68
2353,0,2,6
2354,271,390,1032
2355,3,6,18
2356,4,9,37
2357,75,126,444
2358,180,222,654
2359,1,5,19
2360,33,51,121
2361,9,15,59
2362,9,10,31
2363,2,0,1
2365,234,376,1022
2366,21,23,77
2367,2,2,20
2368,15,11,41
2369,66,137,421
2370,8,15,42
2371,14,27,99
2372,10,11,47
2373,97,76,292
2374,8,12,50
2375,262,444,1293
2376,3,11,43
2377,10,7,43
2378,4,8,20
2379,393,635,1705
2380,0,2,5
2381,11,17,55
2382,55,64,242
2383,3,18,24
2384,9,17,60
2385,3,10,44
2386,143,246,695
2387,15,18,42
2388,8,20,49
2389,0,7,13
2390,36,33,106
2391,2,3,11
2393,8,11,34
2394,12,21,43
2395,95,110,305
2396,1,2,2
2397,64,80,319
2398,38,72,240
2399,2,3,12
2400,5,7,25
2401,7,18,51
2402,160,247,729
2404,9,8,52
2405,4,17,52
2406,21,32,112
2407,18,24,88
2408,229,354,901
2409,1,0,4
2410,1,7,27
2411,23,34,128
2412,42,55,181
2413,4,6,11
2414,94,93,388
2415,2,4,25
2416,26,50,107
2417,229,325,974
2418,185,260,641
2419,1,9,14
2420,6,8,47
2422,17,23,62
2423,5,3,28
2424,40,70,155
2425,2,16,31
2426,20,35,88
2427,1,10,21
2428,0,2,32
2429,9,6,39
2430,6,9,24
2431,9,13,53
2432,211,322,807
2433,4,6,30
2434,10,44,83
2436,2,5,12
2437,15,39,94
2438,2,7,16
2439,18,17,53
2440,23,27,84
2441,66,110,369
2442,6,7,20
2443,35,73,193
2444,7,4,14
2445,2,11,17
2446,27,60,113
2447,23,41,87
2449,6,8,23
2451,10,17,69
2452,325,449,1247
2453,45,72,231
2454,3,8,20
2455,53,80,202
2456,8,20,44
2458,4,0,6
2459,45,87,166
2460,64,94,291
2461,12,26,76
2462,289,339,1204
2463,12,24,77
2464,118,101,509
2465,3,10,26
2466,386,520,1515
2467,3,7,25
2468,1,11,22
2469,1,2,14
2470,77,107,310
2471,6,12,35
2472,17,41,127
2474,1,6,10
2475,3,15,39
2476,11,11,35
2477,228,250,766
2478,248,361,1115
2479,15,20,87
2480,29,46,156
2482,4,15,38
2483,116,183,559
2484,52,111,277
2485,18,34,71
2486,22,28,118
2487,18,21,84
2488,10,20,36
2489,116,203,458
2490,3,5,24
2491,44,58,192
2492,24,42,95
2494,11,25,78
2495,64,109,286
2496,54,78,201
2497,178,299,756
2498,1,4,13
2499,3,12,35
2500,0,5,14
2501,6,12,12
2502,1,8,15
2503,1,2,17
2504,3,4,11
2505,7,5,20
2506,13,22,67
2507,6,19,51
2509,76,97,270
2510,31,25,77
2511,2,3,5
2512,12,35,97
2513,33,59,131
2514,443,568,1813
2515,23,39,120
2516,2,6,14
2517,41,71,269
2518,23,51,90
2519,11,12,87
2520,27,47,98
2521,13,12,53
2522,12,25,76
2523,1,0,9
2525,0,4,25
2526,83,148,336
2527,10,11,50
2528,4,24,54
2530,0,2,4
2531,1,1,7
2532,24,49,98
2533,23,34,106
2534,1,3,22
2535,6,24,79
2536,20,46,119
2537,118,167,403
2538,10,16,28
2539,5,2,37
2540,5,17,56
2541,1,2,18
2542,34,75,238
2543,39,58,157
2544,11,27,56
2545,64,69,279
2546,2,7,18
2547,2,1,14
2548,45,66,183
2550,24,23,70
2551,12,23,75
2552,28,71,168
2554,6,9,34
2555,12,34,60
2556,16,15,77
2557,25,49,120
2558,239,322,990
2559,25,33,90
2560,3,8,21
2561,70,119,339
2562,282,432,1162
2563,14,12,33
2564,273,404,1167
2565,6,7,15
2566,38,82,268
2569,0,0,11
2571,6,10,45
2572,456,572,1579
2573,5,17,34
2574,4,5,20
2576,5,11,60
2577,1,2,4
2578,8,3,22
2579,4,14,17
2580,13,22,78
2581,168,197,679
2583,11,19,39
2584,292,396,1274
2585,4,13,59
2586,11,25,96
2588,28,58,113
2589,15,29,74
2590,5,15,33
2591,6,4,9
2592,17,32,62
2593,50,40,150
2594,6,9,25
2595,15,17,51
2596,51,116,271
2597,8,9,23
2598,2,6,22
2600,21,24,86
2601,200,257,773
2602,3,11,57
2603,1,1,17
2604,442,502,1442
2605,11,29,66
2606,8,10,44
2607,96,156,349
2608,93,166,398
2609,9,8,20
2610,98,141,513
2611,247,254,1067
2612,14,30,60
2613,52,69,283
2614,9,15,42
2616,0,0,21
2617,0,1,1
2618,21,18,52
2619,1,6,23
2620,50,80,223
2621,59,71,233
2622,61,74,238
2623,16,31,125
2624,11,10,43
2625,4,7,35
2626,369,522,1979
2627,24,38,100
2628,83,143,488
2629,3,14,48
2630,88,134,321
2631,34,41,109
2632,10,21,40
2633,1,6,14
2634,36,65,179
2635,10,14,50
2636,55,42,154
2637,10,24,37
2638,10,6,20
2639,126,180,636
2640,109,171,464
2642,9,18,70
2643,19,33,103
2645,0,1,9
2646,3,8,21
2647,219,277,806
2648,313,393,1080
2649,32,63,202
2650,349,474,1430
2651,70,81,254
2653,84,118,394
2654,6,12,63
2655,5,15,42
2656,44,86,172
2657,47,59,211
2658,9,13,38
2659,20,40,111
2660,13,22,72
2661,68,116,375
2662,0,0,5
2663,4,7,20
2664,18,19,93
2665,27,35,130
2666,0,0,4
2667,55,72,260
2668,218,274,904
2669,2,18,39
2670,15,26,89
2671,291,454,1715
2672,14,36,61
2673,13,6,50
2674,23,33,120
2675,15,14,60
2676,9,25,98
2677,1,2,24
2678,283,383,1463
2679,259,389,980
2680,10,9,55
2681,10,10,24
2682,139,126,609
2684,3,6,16
2685,38,58,199
2686,21,24,87
2687,44,38,170
2688,55,94,189
2689,4,8,21
2690,57,51,248
2691,8,13,47
2692,5,8,34
2693,26,43,132
2694,0,14,21
2695,130,191,524
2696,52,59,190
2698,4,5,25
2699,0,1,19
2700,38,49,132
2701,5,17,69
2702,75,132,355
2703,3,3,6
2704,7,18,56
2705,10,6,34
2706,73,150,357
2707,380,471,1495
2708,7,17,45
2710,97,131,411
2711,35,42,144
2712,9,17,58
2713,78,125,317
2714,0,1,11
2715,0,1,3
2716,3,11,29
2717,0,3,17
2718,23,45,81
2719,15,18,47
2720,106,118,349
2722,2,7,26
2723,28,49,118
2724,0,3,7
2725,13,35,81
2726,31,51,127
2727,0,8,17
2728,12,12,29
2729,17,26,105
2730,55,117,361
2731,200,267,800
2732,4,8,28
2733,114,250,718
2734,37,46,163
2735,5,18,53
2736,39,32,109
2737,39,101,282
2738,3,7,16
2739,302,303,962
2740,3,6,32
2741,6,7,35
2742,30,49,94
2744,51,88,249
2745,0,2,10
2746,14,15,68
2747,0,6,12
2748,329,427,1319
2749,50,103,314
2750,0,3,9
2751,21,14,69
2752,2,6,21
2754,201,225,1191
2755,244,383,1127
2756,161,235,652
2757,320,508,1758
2758,8,8,50
2759,154,153,513
2760,15,25,47
2761,18,20,73
2762,241,321,1127
2763,13,19,52
2765,1,4,14
2766,8,14,47
2767,123,137,479
2769,91,137,385
2770,12,22,44
2771,56,131,362
2773,14,35,103
2774,12,15,57
2775,3,6,15
2777,224,320,789
2778,413,462,1635
2779,6,11,28
2780,13,9,50
2781,95,160,455
2782,4,8,26
2783,15,12,64
2784,12,16,55
2785,50,70,200
2786,0,2,8
2787,28,35,110
2788,21,43,118
2789,3,3,11
2790,5,9,25
2791,29,32,93
2792,7,6,26
2793,1,2,5
2794,303,298,1092
2795,2,8,15
2796,3,3,11
2797,166,258,754
2798,49,58,176
2799,4,6,46
2800,76,103,294
2801,15,22,85
2802,30,57,126
2803,2,4,19
2804,162,235,820
2805,6,17,40
2807,1,2,12
2808,7,19,56
2810,156,234,654
2811,5,3,13
2812,4,12,24
2813,411,464,1736
2814,7,6,23
2815,6,19,16
2817,3,9,19
2818,37,28,152
2820,1,0,3
2822,2,1,5
2823,22,32,136
2825,7,12,31
2826,3,7,21
2827,1,2,6
2829,32,47,119
2830,7,19,24
2831,18,19,47
2832,31,77,174
2834,42,78,242
2835,1,18,41
2837,9,20,55
2838,79,105,441
2839,13,7,54
2841,1,4,19
2842,76,126,372
2843,2,2,7
2844,19,34,78
2845,287,243,1589
2846,20,42,97
2847,4,7,11
2850,68,84,279
2851,80,100,326
2852,3,27,65
2853,144,240,658
2854,45,55,183
2855,217,436,1253
2856,3,3,10
2857,220,316,1180
2858,6,14,35
2859,17,39,94
2860,8,9,40
2861,1,1,8
2862,21,54,142
2863,45,71,200
2864,49,47,239
2867,47,73,201
2868,13,29,71
2869,3,7,36
2870,2,4,16
2871,20,41,96
2872,17,19,120
2873,3,8,33
2874,5,10,29
2875,16,33,91
2876,300,400,1295
2877,15,37,113
2878,16,34,109
2879,26,37,136
2880,15,33,97
2882,2,4,15
2883,6,13,30
2884,26,25,82
2886,2,4,6
2887,60,101,338
2888,27,27,118
2889,27,84,147
2890,5,7,26
2891,55,76,249
2892,0,1,1
2893,10,35,78
2894,331,419,1389
2895,53,48,267
2896,16,32,80
2897,26,15,83
2898,154,182,599
2899,22,56,141
2900,0,0,10
2901,3,4,19
2902,50,93,234
2905,7,24,51
2907,20,50,126
2908,200,246,665
2909,13,18,54
2910,52,70,250
2911,9,14,37
2913,10,20,66
2914,439,646,1584
2915,10,18,60
2916,1,5,17
2917,0,1,5
2918,7,7,28
2919,50,91,268
2920,101,148,491
2921,17,23,84
2922,8,7,44
2923,5,7,24
2924,62,86,215
2925,0,1,11
2926,2,3,13
2927,3,16,47
2928,2,1,4
2929,240,354,1348
2931,2,6,10
2932,94,122,409
2933,22,40,114
2935,17,47,110
2936,57,102,246
2938,164,202,779
2939,57,86,317
2941,6,11,60
2944,4,11,29
2946,6,8,32
2947,64,108,204
2949,12,7,57
2950,44,69,188
2951,193,357,1069
2952,8,10,23
2955,3,2,31
2957,32,73,160
2958,13,13,47
2959,22,28,116
2960,308,365,1150
2962,0,8,25
2963,106,126,416
2964,149,209,557
2965,8,7,23
2966,3,10,33
2967,9,18,56
2968,8,11,22
2969,384,508,1294
2970,6,5,25
2971,65,109,248
2972,8,15,23
2973,6,35,67
2974,477,521,1771
2975,58,63,227
2976,2,10,44
2977,25,21,102
2978,3,4,20
2980,4,3,13
2981,14,26,96
2983,6,21,35
2984,0,6,20
2985,402,511,1438
2986,17,26,39
2987,53,80,292
2989,6,14,32
2990,0,1,3
2991,12,34,84
2993,10,27,64
2995,13,8,61
2996,559,459,1594
2999,4,5,20
3000,380,492,1474
3001,48,75,141
3002,0,1,13
3004,4,6,11
