station_code,station_name,latitude,longitude,municipality,province
11208,Vitoria/Gasteiz,42.8415284,-2.6726651,Vitoria-Gasteiz,araba/álava
11212,Agurain/Salvatierra De Alava,42.8464369,-2.3892266,Salvatierra/Agurain,araba/álava
11213,Araia,42.8694713,-2.3068018,Arraia-Maeztu,araba/álava
11203,Manzanos,42.7428754,-2.8675305,Ribera Baja/Erribera Beitia,araba/álava
11205,Nanclares-Langraiz,42.8162344,-2.8049335,Iruña Oka/Iruña De Oca,araba/álava
11210,Alegria-Dulantzi,42.8488289,-2.5145516,Alegría-Dulantzi,araba/álava
60600,Albacete Los Llanos,39.0002979,-1.8487356,Albacete,albacete
60507,La Gineta,39.1117194,-2.000316,"Gineta, La",albacete
61005,Hellin,38.5088565,-1.688572,Hellín,albacete
60500,Villarrobledo,39.2608516,-2.5985537,Villarrobledo,albacete
60503,Minaya,39.240726,-2.3484434,Minaya,albacete
60505,La Roda De Albacete,39.199397,-2.1628953,"Roda, La",albacete
60800,Almansa,38.8677729,-1.1054355,Almansa,albacete
60901,Caudete,38.7161493,-0.9597129,Caudete,albacete
3309,Villena Alta Velocidad,38.5846082,-0.8734737,Villena,alicante/alacant
60902,Villena,38.631817,-0.867668,Villena,alicante/alacant
60900,La Encina,38.7653779,-0.9542829,Villena,alicante/alacant
60905,Elda-Petrer,38.484919,-0.8010553,Elda,alicante/alacant
60904,Sax,38.5447527,-0.8142178,Sax,alicante/alacant
60907,Novelda-Aspe,38.4071671,-0.7777287,Novelda,alicante/alacant
69011,Alcoi,38.7094901,-0.4702863,Alcoy/Alcoi,alicante/alacant
69010,Cocentaina,38.7407086,-0.4470622,Cocentaina,alicante/alacant
69009,Agres,38.7968366,-0.5217951,Agres,alicante/alacant
56312,Almeria,36.8346609,-2.4561659,Almería,almería
56305,Gergal,37.1088805,-2.5915216,Gérgal,almería
56301,Fiñana,37.1847081,-2.839647,Fiñana,almería
56308,Gador,36.9515917,-2.4874696,Gádor,almería
10400,Avila,40.657203,-4.683319,Ávila,ávila
10302,Guimorcondo,40.6490138,-4.6150234,Tornadizos De Ávila,ávila
10409,Arevalo,41.0471235,-4.7019727,Arévalo,ávila
10207,Las Navas Del Marques,40.5892572,-4.3614434,"Navas Del Marqués, Las",ávila
10208,Navalperal,40.5909526,-4.4086162,Navalperal De Pinares,ávila
10300,Herradon-La Cañada,40.599334,-4.4950318,Herradón De Pinares,ávila
34007,Crespos,40.8700754,-4.9679924,Crespos,ávila
34002,Cardeñosa De Avila,40.7391956,-4.7507526,Cardeñosa,ávila
34005,San Pedro Del Arroyo,40.8038378,-4.871408,San Pedro Del Arroyo,ávila
34008,Narros Del Castillo,40.8665849,-5.0527564,Narros Del Castillo,ávila
37606,Badajoz,38.89061,-6.9817556,Badajoz,badajoz
37604,Guadiana,38.9220809,-6.6899875,Guadiana Del Caudillo,badajoz
40004,Almendralejo,38.6846701,-6.3997768,Almendralejo,badajoz
40005,Villafranca De Los Barros,38.5644983,-6.3520619,Villafranca De Los Barros,badajoz
40006,Los Santos De Maimona,38.4496301,-6.3616186,"Santos De Maimona, Los",badajoz
40008,Zafra Feria,38.4243825,-6.4099897,Zafra,badajoz
40100,Zafra,38.4138471,-6.405396,Zafra,badajoz
42005,Fregenal De La Sierra,38.1677017,-6.6378417,Fregenal De La Sierra,badajoz
37407,Don Benito,38.9669797,-5.8628364,Don Benito,badajoz
37402,Castuera,38.7349783,-5.5417826,Castuera,badajoz
37404,Campanario,38.8534031,-5.6414458,Campanario,badajoz
37410,Guareña,38.8968311,-6.1289519,Guareña,badajoz
37409,Valdetorres,38.9133481,-6.0694247,Valdetorres,badajoz
37603,Montijo,38.9135544,-6.5985619,Montijo,badajoz
37608,Montijo-El Molino,38.9139742,-6.6182455,Montijo,badajoz
35405,San Vicente De Alcantara,39.3815403,-7.1170664,San Vicente De Alcántara,badajoz
37311,Cabeza Del Buey,38.723812,-5.2270033,Cabeza Del Buey,badajoz
37400,Almorchon,38.6966056,-5.2904115,Cabeza Del Buey,badajoz
37406,Villanueva De La Serena,38.9687822,-5.7963912,Villanueva De La Serena,badajoz
37500,Merida,38.9213839,-6.343062,Mérida,badajoz
37600,Aljucen,38.9364087,-6.407883,Aljucén,badajoz
40002,Calamonte,38.8874922,-6.3826881,Calamonte,badajoz
37611,Garrovilla-Las Vegas,38.9153576,-6.4770663,"Garrovilla, La",badajoz
40105,Llerena,38.2376771,-6.0098805,Llerena,badajoz
40107,Fuente Del Arco,38.1635601,-5.9005181,Fuente Del Arco,badajoz
78505,Aguilar De Segarra,41.738797,1.6237134,Aguilar De Segarra,barcelona
78506,Rajadell,41.732411,1.6986637,Rajadell,barcelona
78503,Calaf,41.7302307,1.5151424,Calaf,barcelona
78504,Seguers-Sant Pere Sallavinera,41.747882,1.5740043,Calaf,barcelona
78502,Sant Marti Sesgueioles,41.7012114,1.4861976,Sant Martí Sesgueioles,barcelona
11014,Burgos Rosa De Lima,42.3706346,-3.6661075,Burgos,burgos
11009,Villaquiran,42.2156539,-3.9995055,Villaquirán De Los Infantes,burgos
11200,Miranda De Ebro,42.6907532,-2.9411199,Miranda De Ebro,burgos
11109,Briviesca,42.5427537,-3.3192126,Briviesca,burgos
11111,Pancorbo,42.6302302,-3.1129697,Pancorbo,burgos
11204,La Puebla De Arganzon,42.7652437,-2.8303429,Condado De Treviño,burgos
35400,Caceres,39.461161,-6.385651,Cáceres,cáceres
35206,Navalmoral De La Mata,39.8948539,-5.545566,Navalmoral De La Mata,cáceres
35406,Valencia De Alcantara,39.4269147,-7.2307418,Valencia De Alcántara,cáceres
35207,Casatejada,39.8919228,-5.6776116,Casatejada,cáceres
35301,Mirabel,39.8661782,-6.228912,Mirabel,cáceres
35302,Casas De Millan,39.8121045,-6.3256771,Casas De Millán,cáceres
30002,Plasencia,40.0221943,-6.0994465,Plasencia,cáceres
30000,Monfragüe,39.9374645,-6.1010368,Malpartida De Plasencia,cáceres
35303,Cañaveral,39.7889614,-6.3745314,Cañaveral,cáceres
35402,Arroyo De Malpartida,39.4680733,-6.5344525,Cáceres,cáceres
55020,Algeciras,36.126469,-5.448923,Algeciras,cádiz
55014,San Pablo,36.4679463,-5.4190055,Jimena De La Frontera,cádiz
55015,Jimena De La Frontera,36.4242754,-5.4342443,Jimena De La Frontera,cádiz
55017,Almoraima,36.2770173,-5.4300178,Castellar De La Frontera,cádiz
55018,San Roque-La Linea,36.2140158,-5.4322269,San Roque,cádiz
55019,Los Barrios,36.1738822,-5.4607781,"Barrios, Los",cádiz
55005,Setenil,36.8624427,-5.1211137,Setenil De Las Bodegas,cádiz
67208,Barracas,40.011745,-0.6962735,Barracas,castellón/castelló
65312,Vinaros,40.4716548,0.4556807,Vinaròs,castellón/castelló
65318,Benicassim,40.0580783,0.0578182,Benicasim/Benicàssim,castellón/castelló
65308,Alcala De Chivert,40.304675,0.2286858,Alcalà De Xivert,castellón/castelló
65311,Benicarlo-Peñiscola,40.4276628,0.415166,Benicarló,castellón/castelló
65304,Orpesa,40.0922718,0.1397688,Oropesa Del Mar/Orpesa,castellón/castelló
65306,Torreblanca,40.2122167,0.1989847,Torreblanca,castellón/castelló
37200,Ciudad Real,38.9852579,-3.9134245,Ciudad Real,ciudad real
50100,Manzanares,39.0058224,-3.3705386,Manzanares,ciudad real
94002,Daimiel,39.0615172,-3.6040492,Daimiel,ciudad real
94004,Almagro,38.895438,-3.709777,Almagro,ciudad real
50102,Valdepeñas,38.763297,-3.395942,Valdepeñas,ciudad real
37302,Brazatortas-Veredas,38.6688198,-4.3166882,Brazatortas,ciudad real
37305,Almadenejos-Almaden,38.7405765,-4.730331,Almadén,ciudad real
37308,Guadalmez-Los Pedroches,38.6992339,-4.9295366,Guadalmez,ciudad real
37300,Puertollano,38.6914111,-4.1116111,Puertollano,ciudad real
37700,Puertollano (Av),38.6914111,-4.1116111,Puertollano,ciudad real
60400,Alcazar De San Juan,39.3961548,-3.2058024,Alcázar De San Juan,ciudad real
60402,Campo De Criptana,39.394412,-3.1176765,Campo De Criptana,ciudad real
60406,Socuellamos,39.2787994,-2.7755387,Socuéllamos,ciudad real
50002,Cinco Casas,39.1693086,-3.2373701,Alcázar De San Juan,ciudad real
50200,Santa Cruz De Mudela,38.644651,-3.4514992,Santa Cruz De Mudela,ciudad real
50202,Almuradiel-Viso Del Marques,38.5143048,-3.5017844,Almuradiel,ciudad real
50500,Cordoba,37.8884864,-4.7895764,Córdoba,córdoba
50417,Campus Universitario De Rabanales,37.9128153,-4.720937,Córdoba,córdoba
37704,Villanueva De Cordoba,38.2551693,-4.5709044,Villanueva De Córdoba,córdoba
2002,Puente Genil-Herrera,37.3597116,-4.8221946,Puente Genil,córdoba
50407,Villa Del Rio,37.9814294,-4.2838235,Villa Del Río,córdoba
50506,Palma Del Rio,37.7181028,-5.29276,Palma Del Río,córdoba
50504,Posadas,37.803977,-5.106321,Posadas,córdoba
31412,A Coruña,43.352486,-8.4099651,"Coruña, A","coruña, a"
31416,Cerceda-Meirama,43.2076859,-8.4466314,Cerceda,"coruña, a"
20410,Elviña-Universidade,43.3352145,-8.4130116,"Coruña, A","coruña, a"
20316,Teixeiro,43.1413822,-8.0376492,Curtis,"coruña, a"
20317,Curtis,43.1272132,-8.1432035,Curtis,"coruña, a"
20400,Betanzos-Infesta,43.2707409,-8.2258495,Betanzos,"coruña, a"
21001,Betanzos-Cidade,43.2841768,-8.2158576,Betanzos,"coruña, a"
20320,Oza Dos Rios,43.218716,-8.187044,Oza-Cesuras,"coruña, a"
20318,Piñoi,43.1452995,-8.1911976,Oza-Cesuras,"coruña, a"
20319,Cesuras,43.1730347,-8.2005033,Oza-Cesuras,"coruña, a"
21008,Perlio,43.4730193,-8.17485,Fene,"coruña, a"
21009,Neda,43.4953536,-8.160979,Neda,"coruña, a"
21007,Barallobre,43.4628928,-8.1885688,Fene,"coruña, a"
21003,Perbes,43.3781843,-8.20108,Miño,"coruña, a"
21004,Pontedeume,43.4117646,-8.1803661,Pontedeume,"coruña, a"
21005,Cabanas,43.4156164,-8.168832,Cabanas,"coruña, a"
21002,Miño,43.3423304,-8.2053876,Miño,"coruña, a"
20402,Cecebre,43.2879239,-8.3077339,Cambre,"coruña, a"
20403,Cambre,43.2904881,-8.3520983,Cambre,"coruña, a"
20404,O Burgo-Santiago,43.3178485,-8.36868,Culleredo,"coruña, a"
31415,Ordes,43.0380488,-8.4478022,Ordes,"coruña, a"
31411,Uxes,43.2974066,-8.444413,Arteixo,"coruña, a"
31400,Santiago De Compostela,42.8707816,-8.5447178,Santiago De Compostela,"coruña, a"
23013,Osebe,42.825301,-8.615838,Teo,"coruña, a"
23011,Padron,42.739327,-8.6525701,Padrón,"coruña, a"
23021,Padron Barbanza,42.7812443,-8.656552,Padrón,"coruña, a"
3208,Cuenca Fernando Zobel,40.0352819,-2.1441378,Cuenca,cuenca
66100,Cuenca,40.0673622,-2.1364895,Cuenca,cuenca
66016,Chillaron,40.102932,-2.220969,Chillarón De Cuenca,cuenca
66103,Cañada Del Hoyo,39.9538744,-1.8896024,Cañada Del Hoyo,cuenca
66104,Carboneras De Guadazaon,39.9005164,-1.8076325,Carboneras De Guadazaón,cuenca
66105,Arguisuelas,39.838605,-1.8123037,Arguisuelas,cuenca
66109,Villora,39.7468661,-1.6108998,Víllora,cuenca
66108,Yemeda-Cardenete,39.7509195,-1.6818789,Yémeda,cuenca
66006,Tarancon,40.0064667,-3.0097245,Tarancón,cuenca
66011,Huete,40.147094,-2.6816134,Huete,cuenca
66013,Castillejo Del Romeral,40.1371299,-2.5068958,Huete,cuenca
66014,Cuevas De Velasco,40.1554631,-2.408532,Villar Y Velasco,cuenca
79300,Girona,41.9793402,2.8168293,Girona,girona
79202,Sils,41.8076177,2.7450842,Sils,girona
79203,Caldes De Malavella,41.8411429,2.8007209,Caldes De Malavella,girona
79204,Riudellots,41.8962535,2.8116032,Riudellots De La Selva,girona
79205,Fornells De La Selva,41.9350259,2.8097539,Fornells De La Selva,girona
79301,Celra,42.0271891,2.8749348,Celrà,girona
79302,Bordils-Juia,42.0370471,2.915295,Bordils,girona
79303,Flaça,42.0474159,2.9574089,Flaçà,girona
79304,Sant Jordi Desvalls,42.0683167,2.9645106,Sant Jordi Desvalls,girona
79305,Camallera,42.1223201,2.9653807,"Saus, Camallera I Llampaies",girona
79308,Vilamalla,42.2163229,2.9778522,Vilamalla,girona
79306,Sant Miquel De Fluvia,42.172094,2.989598,Sant Miquel De Fluvià,girona
79312,Llança,42.366688,3.149168,Llançà,girona
79311,Vilajuiga,42.3256095,3.0873849,Vilajuïga,girona
79314,Colera,42.4067916,3.154506,Colera,girona
79315,Portbou,42.4246822,3.1577348,Portbou,girona
79309,Figueres,42.2650808,2.968814,Figueres,girona
4307,Figueres-Vilafant,42.2575697,2.94513,Figueres,girona
5000,Granada,37.1840355,-3.6090357,Granada,granada
5013,Loja-San Francisco,37.174921,-4.149528,Loja,granada
56200,Guadix,37.3168311,-3.1271704,Guadix,granada
56103,Benalua De Guadix,37.345298,-3.1631551,Benalúa,granada
56100,Moreda,37.4311479,-3.3105075,Morelábor,granada
57003,Iznalloz,37.3958908,-3.5278435,Iznalloz,granada
4007,Guadalajara-Yebes,40.5879523,-3.1249541,Guadalajara,guadalajara
70202,Yunquera De Henares,40.747036,-3.163145,Yunquera De Henares,guadalajara
70204,Humanes De Mohernando,40.8311845,-3.1389515,Humanes,guadalajara
70209,Jadraque,40.930006,-2.935785,Jadraque,guadalajara
70208,Carrascosa De Henares,40.905884,-3.013691,Espinosa De Henares,guadalajara
70302,Sigüenza,41.071329,-2.646456,Sigüenza,guadalajara
70207,Espinosa De Henares,40.909718,-3.0731338,Espinosa De Henares,guadalajara
70210,Matillas,40.953837,-2.843212,Matillas,guadalajara
70300,Baides,41.004911,-2.785903,Baides,guadalajara
43019,Huelva-Termino,37.252635,-6.944905,Huelva,huelva
42015,Calañas,37.651964,-6.876462,Calañas,huelva
42016,Los Milanos,37.586225,-6.919955,Calañas,huelva
42018,El Cobujon,37.51651,-6.953432,Calañas,huelva
42013,El Tamujoso,37.7203298,-6.9005379,"Cerro De Andévalo, El",huelva
42012,Valdelamusa,37.787145,-6.8737178,Cortegana,huelva
42009,Almonaster-Cortegana,37.9012229,-6.7973125,Almonaster La Real,huelva
42008,Jabugo-Galaroza,37.9279893,-6.7730438,Jabugo,huelva
42006,Cumbres Mayores,38.0532442,-6.6310657,Cumbres Mayores,huelva
42019,Belmonte,37.461858,-6.947529,San Bartolomé De La Torre,huelva
42020,Gibraleon,37.367897,-6.962285,Gibraleón,huelva
43021,San Juan Del Puerto,37.311893,-6.84109,San Juan Del Puerto,huelva
43011,La Palma Del Condado,37.3906538,-6.5544227,"Palma Del Condado, La",huelva
43015,Niebla-Puerta Del Buey,37.3584965,-6.681256,Niebla,huelva
43012,Villarrasa,37.3870134,-6.598824,Villarrasa,huelva
43009,Escacena,37.397858,-6.391999,Escacena Del Campo,huelva
74200,Huesca,42.1333507,-0.4097769,Huesca,huesca
78203,Sariñena,41.8171171,-0.1723288,Sariñena,huesca
78200,Tardienta,41.9757949,-0.5383496,Tardienta,huesca
78201,Grañen,41.9379837,-0.3692811,Grañén,huesca
78301,Monzon-Rio Cinca,41.9137896,0.1969015,Monzón,huesca
78302,Binefar,41.8497659,0.2913721,Binéfar,huesca
74211,Sabiñanigo,42.5204167,-0.3733136,Sabiñánigo,huesca
74209,Caldearenas-Aquilue,42.3979073,-0.499468,Caldearenas,huesca
74213,Jaca,42.5776167,-0.5386996,Jaca,huesca
74214,Castiello-Pueblo,42.6273588,-0.5451882,Castiello De Jaca,huesca
74204,Ayerbe,42.2755598,-0.682595,Ayerbe,huesca
74205,Riglos-Concilio,42.3169651,-0.7274176,"Peñas De Riglos, Las",huesca
74206,Riglos,42.3447386,-0.7317148,"Peñas De Riglos, Las",huesca
74202,Plasencia Del Monte,42.2051817,-0.5609244,"Sotonera, La",huesca
74207,Santa Maria Y La Peña,42.38038,-0.6958747,"Peñas De Riglos, Las",huesca
74208,Anzanigo,42.4033453,-0.6430434,Caldearenas,huesca
74216,Villanua-Letranz,42.6890585,-0.5234695,Villanúa,huesca
74217,Canfranc,42.7513897,-0.5141525,Canfranc,huesca
3100,Jaen,37.7800495,-3.7908847,Jaén,jaén
50207,Vilches,38.2156965,-3.517513,Vilches,jaén
56004,Jodar-Ubeda,37.9133419,-3.3502021,Jódar,jaén
50300,Linares-Baeza,38.069169,-3.5892724,Linares,jaén
56009,Cabra Del Santo Cristo Y Alicun,37.6567026,-3.2625925,Cabra Del Santo Cristo,jaén
3001,Mengibar-Artichuela,37.9778433,-3.8019294,Mengíbar,jaén
50400,Espeluy,38.0101413,-3.832274,Espelúy,jaén
50403,Andujar,38.02824,-4.06604,Andújar,jaén
15100,Leon,42.595994,-5.5826161,León,león
15015,Palanquinos,42.4606633,-5.4974771,Villanueva De Las Manzanas,león
20111,Bembibre,42.6095787,-6.4222006,Bembibre,león
15009,Sahagun,42.3693361,-5.0226545,Sahagún,león
15014,Santas Martas,42.4599988,-5.3866323,Santas Martas,león
15008,Grajal,42.3231962,-5.0133741,Grajal De Campos,león
15012,El Burgo Ranero,42.4257649,-5.2084815,"Burgo Ranero, El",león
20005,Veguellina,42.433562,-5.887601,Villarejo De Órbigo,león
20104,Brañuelas,42.632623,-6.2010116,Villagatón,león
20109,Torre Del Bierzo,42.595497,-6.3289094,Torre Del Bierzo,león
20106,La Granja,42.606841,-6.294966,Torre Del Bierzo,león
20002,Quintana-Raneros,42.5500687,-5.6377276,Santovenia De La Valdoncina,león
20008,Villabante,42.4645614,-5.8388884,Santa Marina Del Rey,león
20006,Barrientos,42.414221,-5.9639231,Valderrey,león
20007,Nistal,42.4244463,-6.0080164,San Justo De La Vega,león
20102,Vega-Magaz,42.5531716,-6.067997,Magaz De Cepeda,león
20103,Porqueros,42.598974,-6.108328,Magaz De Cepeda,león
20113,San Miguel De Las Dueñas,42.5864103,-6.5237647,Congosto,león
20200,Ponferrada,42.545398,-6.602382,Ponferrada,león
20204,Toral De Los Vados,42.541061,-6.7765649,Toral De Los Vados,león
20203,Villadepalos,42.5368908,-6.751069,Carracedelo,león
15108,La Pola De Gordon,42.854015,-5.674606,"Pola De Gordón, La",león
15106,La Robla,42.8039955,-5.6263925,"Robla, La",león
15109,Santa Lucia,42.8749243,-5.6397212,"Pola De Gordón, La",león
15112,Villamanin,42.9367014,-5.6576852,Villamanín,león
15113,Busdongo,42.9844961,-5.7053997,Villamanín,león
20100,Astorga,42.4594174,-6.0471732,Astorga,león
78400,Lleida-Pirineus,41.6207709,0.6327913,Lleida,lleida
73001,Puigverd De Lleida-Artesa De Lleida,41.5536749,0.7333933,Puigverd De Lleida,lleida
78500,Cervera,41.6736697,1.2747541,Cervera,lleida
78402,Bell-Lloc D'Urgell,41.6316563,0.7815619,Bell-Lloc D'Urgell,lleida
78403,Mollerussa,41.6318261,0.8969098,Mollerussa,lleida
78404,Golmes,41.6359096,0.9308368,Golmés,lleida
78406,Bellpuig,41.6325588,1.0129742,Bellpuig,lleida
78405,Castellnou De Seana,41.6374776,0.9677288,Castellnou De Seana,lleida
78501,Sant Guim De Freixenet,41.6559069,1.4205931,Sant Guim De Freixenet,lleida
78408,Tarrega,41.6502293,1.1388073,Tàrrega,lleida
78407,Anglesola,41.6463987,1.0789872,Anglesola,lleida
73003,Les Borges Blanques,41.5217222,0.8772657,"Borges Blanques, Les",lleida
73004,La Floresta,41.5041749,0.9243914,"Floresta, La",lleida
73002,Juneda,41.5439419,0.8255156,Juneda,lleida
73005,Vinaixa,41.4251246,0.9704029,Vinaixa,lleida
81100,Logroño,42.4575947,-2.4406833,Logroño,"rioja, la"
81102,Agoncillo,42.4435948,-2.2916232,Agoncillo,"rioja, la"
81002,Haro,42.5836452,-2.8492747,Haro,"rioja, la"
81108,Calahorra,42.3106137,-1.9579207,Calahorra,"rioja, la"
81105,Alcanadre,42.4074871,-2.1222005,Alcanadre,"rioja, la"
81110,Alfaro,42.1864833,-1.7481719,Alfaro,"rioja, la"
81109,Rincon De Soto,42.2301894,-1.8477929,Rincón De Soto,"rioja, la"
20309,Lugo,43.0150666,-7.5521368,Lugo,lugo
20314,Guitiriz,43.1790747,-7.8950709,Guitiriz,lugo
20216,San Clodio-Quiroga,42.465255,-7.287173,Ribas De Sil,lugo
20218,Pobra De Brollon,42.5337515,-7.4001532,"Pobra Do Brollón, A",lugo
20310,Rabade,43.121342,-7.6247063,Rábade,lugo
20312,Baamonde,43.1734198,-7.7563639,Begonte,lugo
20313,Parga,43.1636305,-7.8373271,Guitiriz,lugo
20214,Montefurado,42.3937465,-7.194573,Quiroga,lugo
20300,Monforte De Lemos,42.5295972,-7.5034723,Monforte De Lemos,lugo
22003,San Estevo Do Sil,42.4272196,-7.6624968,Pantón,lugo
22001,Canabal,42.4826865,-7.5876638,Sober,lugo
22004,San Pedro Do Sil,42.4528283,-7.7123405,Pantón,lugo
22002,Areas,42.4579254,-7.6291878,Sober,lugo
20305,Sarria,42.7841346,-7.4188404,Sarria,lugo
20306,Pedrelo-Celtigos,42.832904,-7.3933761,Sarria,lugo
60000,Madrid-Puerta De Atocha,40.4053548,-3.6895915,Madrid,madrid
10204,Zarzalejo,40.5388169,-4.1580731,Zarzalejo,madrid
10205,Robledo De Chavela,40.5207512,-4.2467712,Robledo De Chavela,madrid
10206,Santa Maria De La Alameda-Peguerinos,40.5689814,-4.2691278,Santa María De La Alameda,madrid
10209,El Pimpollar,40.5677042,-4.2831457,Santa María De La Alameda,madrid
